Structure,Experiment,Dataset Size,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
vusani_s_structure_2,3.0,1000,A,1,0.0007071726956361414,0.0018352654106929024,4.731908082962036
vusani_s_structure_2,3.0,1000,F,1,0.08395905450896914,1.3746730719262343,4.731908082962036
vusani_s_structure_2,3.0,1000,B,1,0.0009432404906749847,0.000638952688171603,4.731908082962036
vusani_s_structure_2,3.0,1000,C,1,0.00020172952929001578,0.00017403563892187494,4.731908082962036
vusani_s_structure_2,3.0,1000,D,1,0.003830751319806652,0.00044462566633135265,4.731908082962036
vusani_s_structure_2,3.0,1000,G,1,0.002719224023985549,0.00045705191694896466,4.731908082962036
vusani_s_structure_2,3.0,1000,H,1,0.0035100741840239074,0.001961645952492726,4.731908082962036
vusani_s_structure_2,3.0,1000,I,1,8.594791675558752e-05,0.00020419036348432416,4.731908082962036
vusani_s_structure_2,3.0,1000,J,1,0.04632516718163429,0.27614669048099794,4.731908082962036
vusani_s_structure_2,3.0,1000,A,2,0.0007920998273141522,2.597330307961771e-06,4.00352931022644
vusani_s_structure_2,3.0,1000,F,2,0.19113442513432957,1.2358337474854906,4.00352931022644
vusani_s_structure_2,3.0,1000,B,2,0.0006858624408790284,9.074734317452197e-08,4.00352931022644
vusani_s_structure_2,3.0,1000,C,2,1.4996676760889276e-05,4.5802276799072764e-07,4.00352931022644
vusani_s_structure_2,3.0,1000,D,2,0.0029273138209698277,0.00020892007946578164,4.00352931022644
vusani_s_structure_2,3.0,1000,G,2,0.0043834911798254165,0.003423824100971109,4.00352931022644
vusani_s_structure_2,3.0,1000,H,2,0.0031070442144774963,0.0010070297105275986,4.00352931022644
vusani_s_structure_2,3.0,1000,I,2,0.0022910712700280906,0.00227347366911744,4.00352931022644
vusani_s_structure_2,3.0,1000,J,2,0.02198000953270228,0.01692480623186325,4.00352931022644
vusani_s_structure_2,3.0,1000,A,3,0.00019389037363401126,1.9834134416100904e-05,3.7267138957977295
vusani_s_structure_2,3.0,1000,F,3,0.07562048702571726,1.0683555734541224,3.7267138957977295
vusani_s_structure_2,3.0,1000,B,3,0.0019010110072723262,2.2466400292254704e-05,3.7267138957977295
vusani_s_structure_2,3.0,1000,C,3,0.0005540473907554751,4.5802276799072764e-07,3.7267138957977295
vusani_s_structure_2,3.0,1000,D,3,0.0022665411873826133,1.682098603583758e-05,3.7267138957977295
vusani_s_structure_2,3.0,1000,G,3,5.494702161871665e-05,0.0010510415565248617,3.7267138957977295
vusani_s_structure_2,3.0,1000,H,3,0.0013669520405344966,0.0015094340145070263,3.7267138957977295
vusani_s_structure_2,3.0,1000,I,3,0.003635367758662987,0.0009216948044766136,3.7267138957977295
vusani_s_structure_2,3.0,1000,J,3,0.03146837467103527,0.02855333220132887,3.7267138957977295
vusani_s_structure_2,3.0,1000,A,4,0.00215707350619692,1.3205822790452598e-05,4.2510058879852295
vusani_s_structure_2,3.0,1000,F,4,0.11798607833235995,0.8918246114702761,4.2510058879852295
vusani_s_structure_2,3.0,1000,B,4,0.0016966941681543363,0.0004034017226559848,4.2510058879852295
vusani_s_structure_2,3.0,1000,C,4,0.0007321517731643766,0.005958564316847964,4.2510058879852295
vusani_s_structure_2,3.0,1000,D,4,2.1481214533905892e-05,0.0026231827165262775,4.2510058879852295
vusani_s_structure_2,3.0,1000,G,4,0.007261746001047963,0.0009438929724764795,4.2510058879852295
vusani_s_structure_2,3.0,1000,H,4,0.0009366695328792212,0.0008090952830989281,4.2510058879852295
vusani_s_structure_2,3.0,1000,I,4,0.0010352479965128358,0.0001425957126626686,4.2510058879852295
vusani_s_structure_2,3.0,1000,J,4,0.0682216311744343,0.036281349511742195,4.2510058879852295
vusani_s_structure_2,3.0,1000,A,5,0.0003393142677064753,5.897927834790009e-05,4.345178604125977
vusani_s_structure_2,3.0,1000,F,5,0.08007806583271852,0.6373623333106871,4.345178604125977
vusani_s_structure_2,3.0,1000,B,5,0.0054710492935723665,0.0029814379642888016,4.345178604125977
vusani_s_structure_2,3.0,1000,C,5,0.004618367806204247,0.0006866008624829521,4.345178604125977
vusani_s_structure_2,3.0,1000,D,5,0.0016332186622902232,0.001731139313710146,4.345178604125977
vusani_s_structure_2,3.0,1000,G,5,0.010436419972323419,0.0021812004815631118,4.345178604125977
vusani_s_structure_2,3.0,1000,H,5,0.0008316222767925105,2.7126384091338986e-05,4.345178604125977
vusani_s_structure_2,3.0,1000,I,5,0.003839076383713347,0.005235982967364793,4.345178604125977
vusani_s_structure_2,3.0,1000,J,5,0.028628586426002158,0.06466512412511222,4.345178604125977
vusani_s_structure_2,3.0,1000,A,6,0.0014406172558539508,9.415410308218769e-05,3.781646490097046
vusani_s_structure_2,3.0,1000,F,6,0.03590975936966288,0.3407176369199103,3.781646490097046
vusani_s_structure_2,3.0,1000,B,6,0.006681879280738913,0.0005091955137331017,3.781646490097046
vusani_s_structure_2,3.0,1000,C,6,0.0009368867544112709,0.0024113354397432146,3.781646490097046
vusani_s_structure_2,3.0,1000,D,6,0.001111372019058767,6.49543424040451e-05,3.781646490097046
vusani_s_structure_2,3.0,1000,G,6,0.002756889743814004,0.0033400926936374923,3.781646490097046
vusani_s_structure_2,3.0,1000,H,6,0.004569735353551811,0.001555426917665562,3.781646490097046
vusani_s_structure_2,3.0,1000,I,6,0.0019049869719591232,0.00024179532330659498,3.781646490097046
vusani_s_structure_2,3.0,1000,J,6,0.025240925183751303,0.0181812817081606,3.781646490097046
vusani_s_structure_2,3.0,1000,A,7,1.6703083428416376e-05,1.6842957050800574e-07,3.8232247829437256
vusani_s_structure_2,3.0,1000,F,7,0.11175308224523113,0.7875622770419382,3.8232247829437256
vusani_s_structure_2,3.0,1000,B,7,0.0016943043641832883,2.816635330289089e-05,3.8232247829437256
vusani_s_structure_2,3.0,1000,C,7,0.0014839225825506834,0.001031404962949345,3.8232247829437256
vusani_s_structure_2,3.0,1000,D,7,0.0003088155517849654,0.00020892007946578164,3.8232247829437256
vusani_s_structure_2,3.0,1000,G,7,0.0095364321460688,0.0015621438431825938,3.8232247829437256
vusani_s_structure_2,3.0,1000,H,7,0.0005763621494139573,0.001357903779741403,3.8232247829437256
vusani_s_structure_2,3.0,1000,I,7,0.0012602629205246529,0.00047081011370041703,3.8232247829437256
vusani_s_structure_2,3.0,1000,J,7,0.02362357925027012,0.016456399716356866,3.8232247829437256
vusani_s_structure_2,3.0,1000,A,8,0.008830237422830178,0.009518502925253566,3.714596748352051
