Structure,Experiment,Dataset Size,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
complex_20_node_structure,3.0,1000,A,1,0.0009591149986204091,5.0840488030269755e-05,32.06719446182251
complex_20_node_structure,3.0,1000,D,1,0.06154395361312945,0.0014522673679259793,32.06719446182251
complex_20_node_structure,3.0,1000,E,1,0.0068643115986889314,0.0031326008499172435,32.06719446182251
complex_20_node_structure,3.0,1000,F,1,0.0003453203079404237,0.0013726196803250873,32.06719446182251
complex_20_node_structure,3.0,1000,B,1,0.005360231320428677,0.0002048512077058107,32.06719446182251
complex_20_node_structure,3.0,1000,G,1,0.0377437758259912,0.004528824723884329,32.06719446182251
complex_20_node_structure,3.0,1000,H,1,0.0018834988711559728,5.9971521245346174e-05,32.06719446182251
complex_20_node_structure,3.0,1000,C,1,4.732847239605903e-05,2.7892540550529966e-05,32.06719446182251
complex_20_node_structure,3.0,1000,I,1,0.0018146072211769285,0.0010454188992445723,32.06719446182251
complex_20_node_structure,3.0,1000,J,1,0.0009852953761043332,0.004209019741838072,32.06719446182251
complex_20_node_structure,3.0,1000,K,1,0.029682677328205107,0.002403443691071956,32.06719446182251
complex_20_node_structure,3.0,1000,L,1,0.012096057393445436,0.004161824498872884,32.06719446182251
complex_20_node_structure,3.0,1000,M,1,0.010544789043867134,0.007412170171562232,32.06719446182251
complex_20_node_structure,3.0,1000,N,1,0.005555062697000292,0.0065319886088869615,32.06719446182251
complex_20_node_structure,3.0,1000,O,1,0.00012624029031675245,0.0004974984585721237,32.06719446182251
complex_20_node_structure,3.0,1000,P,1,0.007853551029362915,0.003197573565805802,32.06719446182251
complex_20_node_structure,3.0,1000,Q,1,0.0022222661783367023,0.006207052431591495,32.06719446182251
complex_20_node_structure,3.0,1000,R,1,0.009483919697529677,0.003077126954718597,32.06719446182251
complex_20_node_structure,3.0,1000,S,1,0.005486054023654787,0.00892641997173678,32.06719446182251
complex_20_node_structure,3.0,1000,T,1,0.03309099576507449,0.04456257723573755,32.06719446182251
complex_20_node_structure,3.0,1000,A,2,0.0008697479732120358,0.0004525200327604034,34.40965819358826
complex_20_node_structure,3.0,1000,D,2,0.03037176042682017,0.005491313886609877,34.40965819358826
complex_20_node_structure,3.0,1000,E,2,0.02079549482034724,0.013222477490811173,34.40965819358826
complex_20_node_structure,3.0,1000,F,2,0.00821764424605959,0.003022753934723184,34.40965819358826
complex_20_node_structure,3.0,1000,B,2,0.0003307799177058408,0.00010220635633713827,34.40965819358826
complex_20_node_structure,3.0,1000,G,2,0.010121984554056261,0.011678666809576363,34.40965819358826
complex_20_node_structure,3.0,1000,H,2,0.017228690682100898,0.0018265765491752351,34.40965819358826
complex_20_node_structure,3.0,1000,C,2,0.001256849545794074,0.00018776245836702073,34.40965819358826
complex_20_node_structure,3.0,1000,I,2,0.0010703161830820773,0.0012183906463690969,34.40965819358826
complex_20_node_structure,3.0,1000,J,2,0.012687109777289922,0.0016811950248395765,34.40965819358826
complex_20_node_structure,3.0,1000,K,2,0.01150646226727637,0.0027077312416273476,34.40965819358826
complex_20_node_structure,3.0,1000,L,2,0.000943805332674654,0.0019525084534203502,34.40965819358826
complex_20_node_structure,3.0,1000,M,2,0.0186878187150829,0.001096256576499481,34.40965819358826
complex_20_node_structure,3.0,1000,N,2,0.016039921288752725,0.00960622768234469,34.40965819358826
complex_20_node_structure,3.0,1000,O,2,0.03894758082161689,0.0017193360185496966,34.40965819358826
complex_20_node_structure,3.0,1000,P,2,0.0008675021881437896,0.0005721669862894228,34.40965819358826
complex_20_node_structure,3.0,1000,Q,2,0.0034197551768789395,0.0009013083549086951,34.40965819358826
complex_20_node_structure,3.0,1000,R,2,0.0046074259888411965,0.0014276134173901137,34.40965819358826
complex_20_node_structure,3.0,1000,S,2,0.006681549499044751,0.0016672247337754915,34.40965819358826
complex_20_node_structure,3.0,1000,T,2,0.02400009721543221,0.010524583010780334,34.40965819358826
complex_20_node_structure,3.0,1000,A,3,0.003004107432942424,0.00406716375330534,28.885778188705444
complex_20_node_structure,3.0,1000,D,3,0.024165805684855143,0.0016893930653476587,28.885778188705444
complex_20_node_structure,3.0,1000,E,3,0.018355745305658276,0.00925737595992451,28.885778188705444
complex_20_node_structure,3.0,1000,F,3,0.0008078209505894907,0.00011251789181130961,28.885778188705444
complex_20_node_structure,3.0,1000,B,3,0.0008236140310000917,0.0002048512077058107,28.885778188705444
complex_20_node_structure,3.0,1000,G,3,0.009680775987029697,0.01137075025477701,28.885778188705444
complex_20_node_structure,3.0,1000,H,3,0.021714873960420666,0.01088911020129506,28.885778188705444
complex_20_node_structure,3.0,1000,C,3,0.009228688900292673,9.000592440701165e-05,28.885778188705444
complex_20_node_structure,3.0,1000,I,3,0.006050961320898229,0.00027287572819766114,28.885778188705444
complex_20_node_structure,3.0,1000,J,3,0.001996145703617798,0.003623899911685361,28.885778188705444
complex_20_node_structure,3.0,1000,K,3,0.011704947945687418,0.001884625560663801,28.885778188705444
complex_20_node_structure,3.0,1000,L,3,0.0017380953529828893,0.0027412652040313583,28.885778188705444
complex_20_node_structure,3.0,1000,M,3,0.02391100643697205,0.004246125267563671,28.885778188705444
complex_20_node_structure,3.0,1000,N,3,0.0012043047992013024,0.00027568989128238283,28.885778188705444
complex_20_node_structure,3.0,1000,O,3,0.0007483763891481545,0.0007118990306232576,28.885778188705444
complex_20_node_structure,3.0,1000,P,3,0.0018123698333252039,0.0007267945226805917,28.885778188705444
complex_20_node_structure,3.0,1000,Q,3,0.062321577943879505,0.002200767905855286,28.885778188705444
complex_20_node_structure,3.0,1000,R,3,0.01640282063107989,0.005611671994131621,28.885778188705444
complex_20_node_structure,3.0,1000,S,3,0.004677286661814878,0.0028076403386025116,28.885778188705444
complex_20_node_structure,3.0,1000,T,3,0.06565440239042311,0.03985105378095227,28.885778188705444
complex_20_node_structure,3.0,1000,A,4,0.004775162913836582,0.00406716375330534,31.610520124435425
complex_20_node_structure,3.0,1000,D,4,0.030074400519100587,0.00847951190849931,31.610520124435425
complex_20_node_structure,3.0,1000,E,4,0.01860505948871324,0.001014344304939041,31.610520124435425
complex_20_node_structure,3.0,1000,F,4,0.0016372289363491936,0.003004679575062879,31.610520124435425
complex_20_node_structure,3.0,1000,B,4,0.0019057456855923888,0.0003124846262933488,31.610520124435425
complex_20_node_structure,3.0,1000,G,4,0.01712700505007691,0.010998749206767564,31.610520124435425
complex_20_node_structure,3.0,1000,H,4,0.006542070660252631,0.00047640060024872624,31.610520124435425
complex_20_node_structure,3.0,1000,C,4,0.00025799328906822745,0.0011725280695376178,31.610520124435425
complex_20_node_structure,3.0,1000,I,4,0.00474127972148152,0.0013201496741956694,31.610520124435425
complex_20_node_structure,3.0,1000,J,4,0.011754280923075991,0.0011707360029276704,31.610520124435425
complex_20_node_structure,3.0,1000,K,4,0.004355351164260398,0.0014453657437336251,31.610520124435425
complex_20_node_structure,3.0,1000,L,4,0.0023559887156155814,0.0006712590248239256,31.610520124435425
complex_20_node_structure,3.0,1000,M,4,0.022642483989888478,0.0033850415287253023,31.610520124435425
complex_20_node_structure,3.0,1000,N,4,0.012576164357242754,0.005414150984622362,31.610520124435425
complex_20_node_structure,3.0,1000,O,4,0.009802649039042821,0.00014136052801850792,31.610520124435425
complex_20_node_structure,3.0,1000,P,4,0.01606315333873708,0.006775425157206681,31.610520124435425
complex_20_node_structure,3.0,1000,Q,4,0.0043647227664302245,0.0021729858178503756,31.610520124435425
complex_20_node_structure,3.0,1000,R,4,0.005027700585319085,0.003431998906375327,31.610520124435425
complex_20_node_structure,3.0,1000,S,4,0.00910265217436592,0.006605598849128602,31.610520124435425
complex_20_node_structure,3.0,1000,T,4,0.036310649350797884,0.029416407257899877,31.610520124435425
complex_20_node_structure,3.0,1000,A,5,9.658374988670212e-05,0.0008563670164894281,30.73258066177368
complex_20_node_structure,3.0,1000,D,5,0.011497704381231886,0.005819638296580786,30.73258066177368
complex_20_node_structure,3.0,1000,E,5,0.0023616314694573292,0.0021879404870223866,30.73258066177368
complex_20_node_structure,3.0,1000,F,5,0.0010415074688232078,0.0010302979623735024,30.73258066177368
complex_20_node_structure,3.0,1000,B,5,0.0009190360539889763,5.616732513049e-05,30.73258066177368
complex_20_node_structure,3.0,1000,G,5,0.03615787614201233,0.04406290546766677,30.73258066177368
