Structure,Experiment,Dataset Size,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
complex_structure,3.0,1000,A,1,0.003262996643308917,0.00048626084512537124,3.9405570030212402
complex_structure,3.0,1000,B,1,0.00013313256762136647,0.00031692888969912715,3.9405570030212402
complex_structure,3.0,1000,C,1,0.005286626351876279,0.0014904818415483983,3.9405570030212402
complex_structure,3.0,1000,A,2,0.0027256707483239925,0.0005219937532842805,3.087660074234009
complex_structure,3.0,1000,B,2,0.0008871201314323979,0.0009533451040085344,3.087660074234009
complex_structure,3.0,1000,C,2,0.0014459803686738487,0.004283158175017874,3.087660074234009
complex_structure,3.0,1000,A,3,0.0008006652756919336,0.00021672342926533535,3.412580728530884
complex_structure,3.0,1000,B,3,0.0072599562435246255,0.0012518984689594767,3.412580728530884
complex_structure,3.0,1000,C,3,0.009572159789115978,0.0012419353670682595,3.412580728530884
complex_structure,3.0,1000,A,4,7.159250703019007e-05,0.00035291738350144014,3.17627215385437
complex_structure,3.0,1000,B,4,0.0035205765199182205,0.0014129808722771742,3.17627215385437
complex_structure,3.0,1000,C,4,0.0036066373560451077,0.0027501948860456905,3.17627215385437
complex_structure,3.0,1000,A,5,0.0003112588221052554,0.0005811086072838624,3.0888795852661133
complex_structure,3.0,1000,B,5,0.004827636024125099,0.0023270574774422615,3.0888795852661133
complex_structure,3.0,1000,C,5,0.008154030246687309,0.007846800842204255,3.0888795852661133
complex_structure,3.0,1000,A,6,0.000158833128002165,0.0002526535802534584,3.5020012855529785
complex_structure,3.0,1000,B,6,0.0006549359080552063,0.00011604939266088602,3.5020012855529785
complex_structure,3.0,1000,C,6,0.011886592020253548,0.002459622428714378,3.5020012855529785
complex_structure,3.0,1000,A,7,0.0003528917927434344,9.507817336012764e-05,3.6550166606903076
complex_structure,3.0,1000,B,7,0.0014138105927546767,0.0006188481578949558,3.6550166606903076
complex_structure,3.0,1000,C,7,0.008489936357454304,0.0013348147589413457,3.6550166606903076
complex_structure,3.0,1000,A,8,4.8273574299743764e-05,1.3088053193886003e-05,4.392987489700317
complex_structure,3.0,1000,B,8,0.0021249738249931316,0.0009012377541535938,4.392987489700317
complex_structure,3.0,1000,C,8,0.010853051974259767,0.00415183387270683,4.392987489700317
