Structure,Experiment,Dataset Size,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
complex_20_node_structure,2.0,5,A,1,3.0635279409677993,4.356570258127612,19.722275972366333
complex_20_node_structure,2.0,5,D,1,3.179291227810717,4.841570665412459,19.722275972366333
complex_20_node_structure,2.0,5,E,1,0.1533719671376732,1.9248605995100934,19.722275972366333
complex_20_node_structure,2.0,5,F,1,0.014079816902337783,0.043598522519234156,19.722275972366333
complex_20_node_structure,2.0,5,B,1,1.3873669736210987,2.551195573120869,19.722275972366333
complex_20_node_structure,2.0,5,G,1,2.821425587452325,9.011160628027575,19.722275972366333
complex_20_node_structure,2.0,5,H,1,0.46085447812165137,0.19993741843003435,19.722275972366333
complex_20_node_structure,2.0,5,C,1,0.33079243343022857,0.34816812038363987,19.722275972366333
complex_20_node_structure,2.0,5,I,1,1.6756287560170027,2.441356289315132,19.722275972366333
complex_20_node_structure,2.0,5,J,1,0.720343901943068,1.0121102127693162,19.722275972366333
complex_20_node_structure,2.0,5,K,1,2.6802265115906634,2.159173229866955,19.722275972366333
complex_20_node_structure,2.0,5,L,1,2.187459021589945,3.999852529050586,19.722275972366333
complex_20_node_structure,2.0,5,M,1,1.204239979962754,2.424001750148512,19.722275972366333
complex_20_node_structure,2.0,5,N,1,1.6364831223726284,0.8925226688975649,19.722275972366333
complex_20_node_structure,2.0,5,O,1,0.2651637527016953,0.5438697710707092,19.722275972366333
complex_20_node_structure,2.0,5,P,1,2.400330769893317,0.3763289640214077,19.722275972366333
complex_20_node_structure,2.0,5,Q,1,1.3493466023672984,0.09045742392522285,19.722275972366333
complex_20_node_structure,2.0,5,R,1,2.472310568002599,3.647028412292257,19.722275972366333
complex_20_node_structure,2.0,5,S,1,0.7259479622598671,2.112228532225774,19.722275972366333
complex_20_node_structure,2.0,5,T,1,3.6772535550831784,0.002289708413940111,19.722275972366333
complex_20_node_structure,2.0,5,A,2,0.033048804180258864,0.023596404774789678,19.184495210647583
complex_20_node_structure,2.0,5,D,2,1.7378720629030615,3.0771828022269783,19.184495210647583
complex_20_node_structure,2.0,5,E,2,1.1684263688450405,2.885241651145911,19.184495210647583
complex_20_node_structure,2.0,5,F,2,1.0750636672913405,3.4737620323409577,19.184495210647583
complex_20_node_structure,2.0,5,B,2,0.4484448122310955,0.3240514273061786,19.184495210647583
complex_20_node_structure,2.0,5,G,2,3.508650445531571,5.279614196969694,19.184495210647583
complex_20_node_structure,2.0,5,H,2,0.7923795528815182,1.620810403083819,19.184495210647583
complex_20_node_structure,2.0,5,C,2,0.007977760347349448,0.01320865810424876,19.184495210647583
complex_20_node_structure,2.0,5,I,2,1.608006108046295,2.441356289315132,19.184495210647583
complex_20_node_structure,2.0,5,J,2,0.1349820164569997,0.14724084301225487,19.184495210647583
complex_20_node_structure,2.0,5,K,2,1.795002789082343,2.4243617915466693,19.184495210647583
complex_20_node_structure,2.0,5,L,2,2.1510217334175263,3.999852529050586,19.184495210647583
complex_20_node_structure,2.0,5,M,2,2.223476915363251,3.9747138608722827,19.184495210647583
complex_20_node_structure,2.0,5,N,2,0.1773320092998532,0.24186045209022974,19.184495210647583
complex_20_node_structure,2.0,5,O,2,0.0180455826757969,0.13940775316168202,19.184495210647583
complex_20_node_structure,2.0,5,P,2,1.9911843868362937,0.3763289640214077,19.184495210647583
complex_20_node_structure,2.0,5,Q,2,0.0009134893539510663,0.09045742392522285,19.184495210647583
complex_20_node_structure,2.0,5,R,2,1.4244404627742013,3.3639848234120953,19.184495210647583
complex_20_node_structure,2.0,5,S,2,0.8895628493059085,1.7343196555564504,19.184495210647583
complex_20_node_structure,2.0,5,T,2,1.1331225287523048,0.6573778571375246,19.184495210647583
complex_20_node_structure,2.0,5,A,3,0.12554794558650229,0.023596404774789678,18.852523803710938
complex_20_node_structure,2.0,5,D,3,0.5308694128639097,2.2441522441492308,18.852523803710938
complex_20_node_structure,2.0,5,E,3,1.7039911608074065,0.9741436489178814,18.852523803710938
complex_20_node_structure,2.0,5,F,3,0.5311263397869667,1.642198535592635,18.852523803710938
complex_20_node_structure,2.0,5,B,3,1.9447514574918214,2.551195573120869,18.852523803710938
complex_20_node_structure,2.0,5,G,3,6.714997276438916,9.011160628027575,18.852523803710938
complex_20_node_structure,2.0,5,H,3,0.3187307083998736,0.5542254886856157,18.852523803710938
complex_20_node_structure,2.0,5,C,3,0.3243746825012202,0.34816812038363987,18.852523803710938
complex_20_node_structure,2.0,5,I,3,1.2352948094842602,2.441356289315132,18.852523803710938
complex_20_node_structure,2.0,5,J,3,0.5094548664016424,2.4513658918252177,18.852523803710938
complex_20_node_structure,2.0,5,K,3,1.5652156853210113,2.072729236722509,18.852523803710938
complex_20_node_structure,2.0,5,L,3,0.002841569027554315,0.05248428142894085,18.852523803710938
complex_20_node_structure,2.0,5,M,3,1.1416383704477844,3.052763482865772,18.852523803710938
complex_20_node_structure,2.0,5,N,3,1.0916286337912782,0.024276886357274798,18.852523803710938
complex_20_node_structure,2.0,5,O,3,0.1624642398401042,0.24525372332461703,18.852523803710938
complex_20_node_structure,2.0,5,P,3,0.010406450911247159,0.3763289640214077,18.852523803710938
complex_20_node_structure,2.0,5,Q,3,1.6604458865541747,2.6315299574147937,18.852523803710938
complex_20_node_structure,2.0,5,R,3,2.29262166381206,1.7701730103472988,18.852523803710938
complex_20_node_structure,2.0,5,S,3,0.2240260320029832,0.6287008989925635,18.852523803710938
complex_20_node_structure,2.0,5,T,3,1.9525940728407283,1.1925431260066206,18.852523803710938
complex_20_node_structure,2.0,5,A,4,0.17554996772172385,0.10962677807482768,17.959684133529663
complex_20_node_structure,2.0,5,D,4,1.2588925346198059,3.701256234001439,17.959684133529663
complex_20_node_structure,2.0,5,E,4,1.4679717814133235,1.901756431502295,17.959684133529663
complex_20_node_structure,2.0,5,F,4,0.8354475834790585,4.791844659239857,17.959684133529663
complex_20_node_structure,2.0,5,B,4,0.0316172966339093,0.008628925740271298,17.959684133529663
complex_20_node_structure,2.0,5,G,4,0.9853248279771917,0.8396858679751774,17.959684133529663
complex_20_node_structure,2.0,5,H,4,0.6631829612750344,1.620810403083819,17.959684133529663
complex_20_node_structure,2.0,5,C,4,0.01495299751260068,0.01320865810424876,17.959684133529663
complex_20_node_structure,2.0,5,I,4,0.168592745075698,1.5870032594578765,17.959684133529663
complex_20_node_structure,2.0,5,J,4,2.2952371896187715,2.414952291541576,17.959684133529663
complex_20_node_structure,2.0,5,K,4,2.263273996562118,4.233518970619989,17.959684133529663
complex_20_node_structure,2.0,5,L,4,0.6911969072912676,1.4464168647463886,17.959684133529663
complex_20_node_structure,2.0,5,M,4,2.0655587632695758,2.967055056080779,17.959684133529663
complex_20_node_structure,2.0,5,N,4,1.5604388201887591,2.10854974904713,17.959684133529663
complex_20_node_structure,2.0,5,O,4,0.017579082162916565,0.13940775316168202,17.959684133529663
complex_20_node_structure,2.0,5,P,4,1.6222580449256039,2.658311279358324,17.959684133529663
