Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
sparse_structure,4,5,1,A,1,0.7302846307343466,1.9215536754301752,4.919181823730469
sparse_structure,4,5,1,E,1,0.3043323283472528,0.20783099871678093,4.919181823730469
sparse_structure,4,5,1,B,1,0.24804637220142436,0.18144652048572896,4.919181823730469
sparse_structure,4,5,1,C,1,0.024737723307997103,0.1924641398482479,4.919181823730469
sparse_structure,4,5,1,D,1,1.2309478240257952,2.9534080055044964,4.919181823730469
sparse_structure,4,5,1,F,1,2.47810511697297,2.264336411301717,4.919181823730469
sparse_structure,4,5,1,G,1,1.1268845737501623,2.7283686644197656,4.919181823730469
sparse_structure,4,5,1,H,1,1.0339381213978682,1.3976517946873865,4.919181823730469
sparse_structure,4,5,2,A,1,4.219460402479939,8.558883636043143,5.4953203201293945
sparse_structure,4,5,2,E,1,0.12615525389764048,0.011282596862862353,5.4953203201293945
sparse_structure,4,5,2,B,1,0.8299417224886101,1.886497687105504,5.4953203201293945
sparse_structure,4,5,2,C,1,0.0402910450216747,0.1924641398482479,5.4953203201293945
sparse_structure,4,5,2,D,1,0.0040366082706038,0.001205829134827363,5.4953203201293945
sparse_structure,4,5,2,F,1,1.1195581354116781,4.27719652142517,5.4953203201293945
sparse_structure,4,5,2,G,1,0.38832998692960335,2.737142895956555,5.4953203201293945
sparse_structure,4,5,2,H,1,1.397181423443139e-05,2.151011577537689e-06,5.4953203201293945
sparse_structure,4,5,1,A,2,0.03814413205985237,0.17688810398648697,4.6826324462890625
sparse_structure,4,5,1,E,2,1.7534669053553977,1.995345504532997,4.6826324462890625
sparse_structure,4,5,1,B,2,0.645656816712703,1.886497687105504,4.6826324462890625
sparse_structure,4,5,1,C,2,0.02789198393072949,0.1924641398482479,4.6826324462890625
sparse_structure,4,5,1,D,2,2.533815184542595,7.320825538136217,4.6826324462890625
sparse_structure,4,5,1,F,2,1.4670879255185345,0.14126802679910208,4.6826324462890625
sparse_structure,4,5,1,G,2,1.0762566638490225,0.22616441636760146,4.6826324462890625
sparse_structure,4,5,1,H,2,1.2704394000786678,1.1331478243754036,4.6826324462890625
sparse_structure,4,5,2,A,2,0.6494260875133282,0.4355761655435426,5.626734256744385
sparse_structure,4,5,2,E,2,1.5215368037758412,3.957504514955757,5.626734256744385
sparse_structure,4,5,2,B,2,0.8963054527213059,1.886497687105504,5.626734256744385
