Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
tree_structure,6,5,1,A,1,0.14598316555928195,0.09326959380863753,8.627243518829346
tree_structure,6,5,1,B,1,0.6323271444045127,5.282262023441435,8.627243518829346
tree_structure,6,5,1,C,1,0.7500830921478058,1.9544248785922138,8.627243518829346
tree_structure,6,5,1,D,1,1.907913024534774,4.651308580834197,8.627243518829346
tree_structure,6,5,1,E,1,1.333020386440392,3.346696270094083,8.627243518829346
tree_structure,6,5,1,F,1,0.0007785498711057569,0.005593439817262465,8.627243518829346
tree_structure,6,5,1,G,1,0.027165940022294485,0.026751113629615297,8.627243518829346
tree_structure,6,5,1,H,1,0.5999641747188638,2.7628400457413638,8.627243518829346
tree_structure,6,5,1,I,1,3.0967005178487517,0.4266492136529817,8.627243518829346
tree_structure,6,5,1,J,1,2.260016038719926,4.516084799151738,8.627243518829346
tree_structure,6,5,1,K,1,1.773107024180728,3.485321215122001,8.627243518829346
tree_structure,6,5,2,A,1,0.22782349694754248,0.29946480421728416,9.32113766670227
tree_structure,6,5,2,B,1,0.023987485929809274,1.1350393628159399,9.32113766670227
tree_structure,6,5,2,C,1,0.9930180133089371,1.9544248785922138,9.32113766670227
tree_structure,6,5,2,D,1,0.04383726964949225,0.6927935478108205,9.32113766670227
tree_structure,6,5,2,E,1,0.03160885106462005,2.009726764801185,9.32113766670227
tree_structure,6,5,2,F,1,2.9000445123493876,4.460641930031496,9.32113766670227
tree_structure,6,5,2,G,1,0.21376454723723146,0.16544326076184537,9.32113766670227
tree_structure,6,5,2,H,1,0.570846442004431,2.7628400457413638,9.32113766670227
tree_structure,6,5,2,I,1,0.02963163097389617,0.3524061552477569,9.32113766670227
tree_structure,6,5,2,J,1,0.1014013352916642,0.049793649358403455,9.32113766670227
tree_structure,6,5,2,K,1,1.4352884669643877,4.067733167006576,9.32113766670227
tree_structure,6,5,1,A,2,1.0352832137104595,2.7098421756277675,6.887387037277222
tree_structure,6,5,1,B,2,1.021539339723209,2.13442409643697,6.887387037277222
tree_structure,6,5,1,C,2,1.7137496392048246,3.575523728962387,6.887387037277222
tree_structure,6,5,1,D,2,0.384845602676352,0.20369574245853503,6.887387037277222
tree_structure,6,5,1,E,2,0.05811948071309728,0.054499278377564755,6.887387037277222
tree_structure,6,5,1,F,2,0.03342101996082226,0.016154820954423218,6.887387037277222
tree_structure,6,5,1,G,2,2.0947066308713445,1.885798239121384,6.887387037277222
tree_structure,6,5,1,H,2,1.0606968585281367,2.4057365377671927,6.887387037277222
tree_structure,6,5,1,I,2,0.08972487612976943,0.35575773535255006,6.887387037277222
tree_structure,6,5,1,J,2,2.0488164546978522,4.57309832981507,6.887387037277222
tree_structure,6,5,1,K,2,0.0824005404844397,0.059450301520610614,6.887387037277222
tree_structure,6,5,2,A,2,1.1215438306630605,2.7098421756277675,8.933674335479736
tree_structure,6,5,2,B,2,0.018338291275784194,0.02434692379557181,8.933674335479736
tree_structure,6,5,2,C,2,0.020800647852011217,0.0026135888842880317,8.933674335479736
tree_structure,6,5,2,D,2,0.03968285305595051,0.12848295303857438,8.933674335479736
tree_structure,6,5,2,E,2,0.027268315209833166,0.08880728749705016,8.933674335479736
tree_structure,6,5,2,F,2,0.15698426053365336,0.005593439817262465,8.933674335479736
tree_structure,6,5,2,G,2,0.18734626264072998,0.026751113629615297,8.933674335479736
tree_structure,6,5,2,H,2,1.40461436253386,2.7628400457413638,8.933674335479736
tree_structure,6,5,2,I,2,0.03588231293124823,0.35575773535255006,8.933674335479736
tree_structure,6,5,2,J,2,0.2539349582565062,2.259478544390497,8.933674335479736
tree_structure,6,5,2,K,2,2.594759467534288,4.486045581525735,8.933674335479736
tree_structure,6,5,1,A,3,4.401518052250439,7.6033581154898515,7.48713755607605
tree_structure,6,5,1,B,3,0.21611050072239701,0.15087505528591502,7.48713755607605
tree_structure,6,5,1,C,3,1.937456479762297,0.03543053372992462,7.48713755607605
tree_structure,6,5,1,D,3,0.9550977497714372,2.3381139904921633,7.48713755607605
tree_structure,6,5,1,E,3,1.4056146404280925,2.7627462980828463,7.48713755607605
tree_structure,6,5,1,F,3,0.056145378960975385,0.016154820954423218,7.48713755607605
tree_structure,6,5,1,G,3,0.006047772724042777,0.016898523670212228,7.48713755607605
tree_structure,6,5,1,H,3,0.2446229993650304,0.3062030164941729,7.48713755607605
tree_structure,6,5,1,I,3,0.07835126605879274,0.3524061552477569,7.48713755607605
tree_structure,6,5,1,J,3,2.0055774431631557,5.009189310716095,7.48713755607605
tree_structure,6,5,1,K,3,1.65894146194452,3.485321215122001,7.48713755607605
tree_structure,6,5,2,A,3,1.48148705170995,2.7098421756277675,11.420243978500366
tree_structure,6,5,2,B,3,1.0639859119489163,0.13565462919490978,11.420243978500366
tree_structure,6,5,2,C,3,0.19173262653223522,0.5100760652466588,11.420243978500366
tree_structure,6,5,2,D,3,0.06214720881555948,0.1472372697628641,11.420243978500366
tree_structure,6,5,2,E,3,2.156910637873219,1.391468783670463,11.420243978500366
tree_structure,6,5,2,F,3,0.06054396165649448,0.005593439817262465,11.420243978500366
tree_structure,6,5,2,G,3,0.025549302390886194,0.026751113629615297,11.420243978500366
tree_structure,6,5,2,H,3,1.6383427780721238,5.422359477522515,11.420243978500366
tree_structure,6,5,2,I,3,0.1256682599789926,0.3524061552477569,11.420243978500366
tree_structure,6,5,2,J,3,2.0930500036635666,5.009189310716095,11.420243978500366
tree_structure,6,5,2,K,3,0.41773378527013216,3.937369239602189,11.420243978500366
tree_structure,6,5,1,A,4,0.13485696770158398,0.09326959380863753,5.974475383758545
tree_structure,6,5,1,B,4,3.901205542887994,8.210710275138851,5.974475383758545
tree_structure,6,5,1,C,4,0.8499178350902504,1.9544248785922138,5.974475383758545
tree_structure,6,5,1,D,4,0.9618651516047886,0.12848295303857438,5.974475383758545
tree_structure,6,5,1,E,4,0.17132507730582866,0.08880728749705016,5.974475383758545
tree_structure,6,5,1,F,4,2.9319541180277056,5.677206053103372,5.974475383758545
tree_structure,6,5,1,G,4,0.004228339799632573,0.026751113629615297,5.974475383758545
tree_structure,6,5,1,H,4,0.00011610694114871055,0.0019254177981720619,5.974475383758545
tree_structure,6,5,1,I,4,0.02444520674984655,0.35575773535255006,5.974475383758545
tree_structure,6,5,1,J,4,0.003184220912948669,0.003737236164227213,5.974475383758545
tree_structure,6,5,1,K,4,1.696986115480346,3.485321215122001,5.974475383758545
tree_structure,6,5,2,A,4,0.0001439119133612313,0.004852419218869586,9.113678455352783
tree_structure,6,5,2,B,4,0.9625694664158773,2.202480512842318,9.113678455352783
tree_structure,6,5,2,C,4,1.0132358748535735,1.9544248785922138,9.113678455352783
tree_structure,6,5,2,D,4,0.48456110205551184,0.2789085318784957,9.113678455352783
tree_structure,6,5,2,E,4,8.589039351725863e-05,0.020191269258079347,9.113678455352783
tree_structure,6,5,2,F,4,0.07409074113063052,0.027861052768959796,9.113678455352783
tree_structure,6,5,2,G,4,0.017580083225989515,0.0058370023162638285,9.113678455352783
tree_structure,6,5,2,H,4,0.12127620168314326,0.039315146143932986,9.113678455352783
tree_structure,6,5,2,I,4,0.03651380705925458,0.35575773535255006,9.113678455352783
tree_structure,6,5,2,J,4,0.2482534917696858,4.630111860478403,9.113678455352783
tree_structure,6,5,2,K,4,0.04119419232320641,1.2448619151892029,9.113678455352783
tree_structure,6,5,1,A,5,1.1624291490542835,2.7098421756277675,7.9603660106658936
