Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
tree_structure,2,5,1,A,1,2.9056573465189133,5.161036122875217,3.2733066082000732
tree_structure,2,5,1,B,1,0.05809631743638499,0.036781716763155566,3.2733066082000732
tree_structure,2,5,1,C,1,2.739353210620644,2.708451414149508,3.2733066082000732
tree_structure,2,5,1,D,1,3.7314910487882678,7.367861391791767,3.2733066082000732
tree_structure,2,5,1,E,1,3.099812510260978,6.4130592187689714,3.2733066082000732
tree_structure,2,5,1,F,1,1.0813864391990706,2.7469129682522353,3.2733066082000732
tree_structure,2,5,1,G,1,1.338602941988674,2.898633008449,3.2733066082000732
tree_structure,2,5,1,H,1,0.0738214847867109,0.037819544567450826,3.2733066082000732
tree_structure,2,5,1,I,1,0.01213572448932699,0.0038471659360105274,3.2733066082000732
tree_structure,2,5,1,J,1,0.07860380696103828,0.0357390040161336,3.2733066082000732
tree_structure,2,5,1,K,1,0.049855302635418056,0.49941991863078106,3.2733066082000732
tree_structure,2,5,2,A,1,0.10952116909909784,0.06490632809148356,4.521217346191406
tree_structure,2,5,2,B,1,0.03211010146893811,0.07309967773862602,4.521217346191406
tree_structure,2,5,2,C,1,2.7464995924910673,5.392772636627325,4.521217346191406
tree_structure,2,5,2,D,1,0.47165296384241706,2.038118987702324,4.521217346191406
tree_structure,2,5,2,E,1,0.8185774571303717,2.8176898767899994,4.521217346191406
tree_structure,2,5,2,F,1,0.0015384610295935755,0.004132818649108541,4.521217346191406
tree_structure,2,5,2,G,1,0.23140532485773407,0.2718407560340124,4.521217346191406
tree_structure,2,5,2,H,1,2.7050556685691225,6.377015283101811,4.521217346191406
tree_structure,2,5,2,I,1,2.321506974316989,4.358850835219253,4.521217346191406
tree_structure,2,5,2,J,1,0.004450341676467157,0.059694766654496745,4.521217346191406
tree_structure,2,5,2,K,1,0.16173570028882572,0.3700531247667004,4.521217346191406
tree_structure,2,5,1,A,2,3.1060690629247674,5.161036122875217,4.288812160491943
tree_structure,2,5,1,B,2,0.04323843055748512,0.036781716763155566,4.288812160491943
tree_structure,2,5,1,C,2,1.8403086537252509,2.3806317476125405,4.288812160491943
tree_structure,2,5,1,D,2,3.860902742760521,8.474840908407609,4.288812160491943
tree_structure,2,5,1,E,2,1.6439890060611229,3.0058590415780557,4.288812160491943
tree_structure,2,5,1,F,2,2.1964541861493276,1.6748836887088343,4.288812160491943
tree_structure,2,5,1,G,2,0.9794351356903768,1.481212169045273,4.288812160491943
tree_structure,2,5,1,H,2,1.8272909338106862,5.362788840894792,4.288812160491943
tree_structure,2,5,1,I,2,2.280530239862676,2.554689205423368,4.288812160491943
tree_structure,2,5,1,J,2,2.3232914054973515,0.059694766654496745,4.288812160491943
tree_structure,2,5,1,K,2,0.06584594986912434,0.49941991863078106,4.288812160491943
tree_structure,2,5,2,A,2,0.005070115487318741,0.053158964003273246,4.572105884552002
tree_structure,2,5,2,B,2,3.6098430695781176,7.310216491525018,4.572105884552002
tree_structure,2,5,2,C,2,1.141304424382202,4.73713330355339,4.572105884552002
tree_structure,2,5,2,D,2,0.03749251415607035,0.026531529400533466,4.572105884552002
tree_structure,2,5,2,E,2,0.06985377131220685,0.0022490068353699637,4.572105884552002
tree_structure,2,5,2,F,2,4.081669338040423,6.972933098789463,4.572105884552002
tree_structure,2,5,2,G,2,0.08585897945685769,0.07902764983460564,4.572105884552002
tree_structure,2,5,2,H,2,1.899139967706136,4.839511351740453,4.572105884552002
tree_structure,2,5,2,I,2,2.8178836500450046,5.024999220370935,4.572105884552002
tree_structure,2,5,2,J,2,0.07995437499238109,0.011783241377770454,4.572105884552002
tree_structure,2,5,2,K,2,0.08414839437044119,0.3700531247667004,4.572105884552002
tree_structure,2,5,1,A,3,0.006180659605530159,0.00014362813793900725,4.374349355697632
tree_structure,2,5,1,B,3,1.4438536585894743,4.1008691890058575,4.374349355697632
tree_structure,2,5,1,C,3,2.0931420062255963,4.282555905428049,4.374349355697632
tree_structure,2,5,1,D,3,1.8663721551103227,4.124742059451602,4.374349355697632
tree_structure,2,5,1,E,3,2.021776950170865,5.914698861912588,4.374349355697632
tree_structure,2,5,1,F,3,1.6388474859480422,3.2596382911919877,4.374349355697632
tree_structure,2,5,1,G,3,1.3083753863291379,2.884489484982872,4.374349355697632
tree_structure,2,5,1,H,3,2.9407363012409817,6.651212022176537,4.374349355697632
tree_structure,2,5,1,I,3,1.6411949734286417,4.691925027795094,4.374349355697632
tree_structure,2,5,1,J,3,1.6267751016405603,2.1264256637587433,4.374349355697632
tree_structure,2,5,1,K,3,0.05699066635215519,0.49941991863078106,4.374349355697632
tree_structure,2,5,2,A,3,0.09635469740824032,0.06490632809148356,4.263351202011108
tree_structure,2,5,2,B,3,1.3709695401883688,4.1008691890058575,4.263351202011108
tree_structure,2,5,2,C,3,1.8974846100644078,4.282555905428049,4.263351202011108
tree_structure,2,5,2,D,3,0.1271622007592428,1.0048180525543795,4.263351202011108
tree_structure,2,5,2,E,3,0.046872832061853345,1.504805632257922,4.263351202011108
tree_structure,2,5,2,F,3,0.00019668977438073998,6.536519706264784e-05,4.263351202011108
tree_structure,2,5,2,G,3,0.18306610256143846,0.27385084999382103,4.263351202011108
tree_structure,2,5,2,H,3,0.6374645501246831,3.213696411083409,4.263351202011108
tree_structure,2,5,2,I,3,2.2009374176667733,4.730278555019638,4.263351202011108
tree_structure,2,5,2,J,3,2.9131653763755376,5.957071025392895,4.263351202011108
tree_structure,2,5,2,K,3,0.08695469378929227,0.3700531247667004,4.263351202011108
tree_structure,2,5,1,A,4,0.004344233642465244,0.00014362813793900725,3.6803414821624756
tree_structure,2,5,1,B,4,1.5410680385704785,3.9255690859845753,3.6803414821624756
tree_structure,2,5,1,C,4,2.8728884241281243,5.869857808084172,3.6803414821624756
tree_structure,2,5,1,D,4,1.6042503133018098,3.9078469510873735,3.6803414821624756
