Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
dense_structure,2,5,1,H,2,0.003613055625105827,0.040992641037732556,7.99351167678833
dense_structure,2,5,1,C,2,0.11203589120321111,0.3967071232026439,7.99351167678833
dense_structure,2,5,1,I,2,2.637256242136256,1.6251800291953822,7.99351167678833
dense_structure,2,5,1,J,2,0.5847009425515826,0.7755054734342154,7.99351167678833
dense_structure,2,5,1,K,2,1.6001040493841745,1.2357466855807377,7.99351167678833
dense_structure,2,5,1,L,2,0.8568581334539311,1.0116461908523369,7.99351167678833
dense_structure,2,5,1,M,2,0.5756687472608834,0.1940968637610998,7.99351167678833
dense_structure,2,5,1,N,2,0.8174226283507752,1.9203034947696145,7.99351167678833
dense_structure,2,5,1,O,2,0.5842425599513228,1.7706651697398386,7.99351167678833
dense_structure,2,5,1,P,2,0.11403130768529027,0.0788240079548863,7.99351167678833
dense_structure,2,5,1,Q,2,5.003083129335371,0.41689536105169,7.99351167678833
dense_structure,2,5,1,R,2,1.3361971290561345,2.9708222363897434,7.99351167678833
dense_structure,2,5,1,S,2,2.2744000837079477,5.934500162217382,7.99351167678833
dense_structure,2,5,1,T,2,2.1697639704945693,0.1804654568904934,7.99351167678833
dense_structure,2,5,1,U,2,1.588495991857559,0.08155754963044304,7.99351167678833
dense_structure,2,5,2,A,2,0.022092710663423443,0.01805105869775439,11.157343626022339
dense_structure,2,5,2,D,2,0.06725530936509694,0.12951075636314416,11.157343626022339
dense_structure,2,5,2,E,2,0.01243508001172658,0.0063492646151578555,11.157343626022339
dense_structure,2,5,2,F,2,0.11911984787764135,0.13294458060424166,11.157343626022339
dense_structure,2,5,2,B,2,0.30808973462903777,0.544101300835441,11.157343626022339
dense_structure,2,5,2,G,2,0.1311670674089862,0.4284353930899715,11.157343626022339
dense_structure,2,5,2,H,2,1.1523378407771265,0.02217909912864389,11.157343626022339
dense_structure,2,5,2,C,2,0.1354733787848363,0.2365387195237286,11.157343626022339
dense_structure,2,5,2,I,2,0.0026306017713817534,0.06437714524267216,11.157343626022339
dense_structure,2,5,2,J,2,0.4509772284549654,1.0064741712185465,11.157343626022339
dense_structure,2,5,2,K,2,2.7813309178246826,5.40430679110256,11.157343626022339
dense_structure,2,5,2,L,2,0.956605106414937,1.4310968041470464,11.157343626022339
dense_structure,2,5,2,M,2,0.15547795482674814,0.3366748567634724,11.157343626022339
dense_structure,2,5,2,N,2,0.8708333335595915,1.5913719639730983,11.157343626022339
dense_structure,2,5,2,O,2,0.9990518431918485,1.7706651697398386,11.157343626022339
dense_structure,2,5,2,P,2,4.681676016103704,6.866646393519029,11.157343626022339
dense_structure,2,5,2,Q,2,2.45894316272431,0.052755006859964634,11.157343626022339
dense_structure,2,5,2,R,2,1.2848860773518131,3.179560197507213,11.157343626022339
dense_structure,2,5,2,S,2,0.27991430718434535,1.606487976525246,11.157343626022339
dense_structure,2,5,2,T,2,0.7876092909403881,0.3343358459337772,11.157343626022339
dense_structure,2,5,2,U,2,0.5264804020587404,0.07656303727443886,11.157343626022339
dense_structure,2,5,1,A,3,0.00964532476101404,0.011405696722377498,7.420062780380249
dense_structure,2,5,1,D,3,1.871929992869044,3.97993989128756,7.420062780380249
