Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
sparse_structure_2,6,5,1,A,1,0.0492744305329747,0.007452067750048648,6.908911466598511
sparse_structure_2,6,5,1,G,1,2.353736784314871,0.26392932126105517,6.908911466598511
sparse_structure_2,6,5,1,B,1,0.04193190639850103,0.11983829191520085,6.908911466598511
sparse_structure_2,6,5,1,C,1,0.10516592347686751,0.17595032416394787,6.908911466598511
sparse_structure_2,6,5,1,D,1,0.7673647633609347,1.8349135539682204,6.908911466598511
sparse_structure_2,6,5,1,H,1,2.2650645075349907,3.0281091233490542,6.908911466598511
sparse_structure_2,6,5,1,I,1,1.8208861033518287,2.467150791314723,6.908911466598511
sparse_structure_2,6,5,1,E,1,0.2679590526244263,0.3929135857135987,6.908911466598511
sparse_structure_2,6,5,1,J,1,2.6169223113444677,1.1319790003289958,6.908911466598511
sparse_structure_2,6,5,1,F,1,0.7307153954185555,2.166001238983919,6.908911466598511
sparse_structure_2,6,5,2,A,1,0.009796281143079247,0.02408406702816579,9.682463645935059
sparse_structure_2,6,5,2,G,1,1.9507223754538043,1.4426965698827061,9.682463645935059
sparse_structure_2,6,5,2,B,1,0.029436546228959706,0.012542660456920984,9.682463645935059
sparse_structure_2,6,5,2,C,1,0.8176630525751053,1.928843117046758,9.682463645935059
sparse_structure_2,6,5,2,D,1,0.43024204844127734,0.4528939484641916,9.682463645935059
sparse_structure_2,6,5,2,H,1,0.4759742163331932,3.2497787329616687,9.682463645935059
sparse_structure_2,6,5,2,I,1,2.9636667363475526,5.591211134367712,9.682463645935059
sparse_structure_2,6,5,2,E,1,0.33159186888520176,0.7245045449893668,9.682463645935059
sparse_structure_2,6,5,2,J,1,3.723798866437052,3.3233345013547595,9.682463645935059
sparse_structure_2,6,5,2,F,1,1.2991954897785478,2.166001238983919,9.682463645935059
sparse_structure_2,6,5,1,A,2,0.02125056731033853,0.007452067750048648,7.364407300949097
sparse_structure_2,6,5,1,G,2,2.9935492351486666,0.8625950336048691,7.364407300949097
sparse_structure_2,6,5,1,B,2,1.0054392080499772,2.4228394344122557,7.364407300949097
sparse_structure_2,6,5,1,C,2,0.92421704175211,1.928843117046758,7.364407300949097
sparse_structure_2,6,5,1,D,2,0.7496994032012719,1.8349135539682204,7.364407300949097
sparse_structure_2,6,5,1,H,2,0.0043466931259266706,0.014023996305837116,7.364407300949097
sparse_structure_2,6,5,1,I,2,2.9001660574237715,4.106471981644802,7.364407300949097
sparse_structure_2,6,5,1,E,2,0.1528400809844052,0.7245045449893668,7.364407300949097
sparse_structure_2,6,5,1,J,2,0.8124775927270294,1.705961758039152,7.364407300949097
sparse_structure_2,6,5,1,F,2,0.11669571553282451,0.14724945115999247,7.364407300949097
sparse_structure_2,6,5,2,A,2,1.8441753948921566,4.368892934025737,8.757619857788086
