Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
tree_structure,4,5,2,E,2,1.047417249750652,1.9939229242021885,10.53031849861145
tree_structure,4,5,2,F,2,1.3488014178442502,3.1791505124299966,10.53031849861145
tree_structure,4,5,2,G,2,0.12752258128782024,0.09888610958583022,10.53031849861145
tree_structure,4,5,2,H,2,0.9211366633068281,3.4116942482277612,10.53031849861145
tree_structure,4,5,2,I,2,2.838421114286024,5.3282424038765965,10.53031849861145
tree_structure,4,5,2,J,2,0.028692676902783584,0.030050395508859212,10.53031849861145
tree_structure,4,5,2,K,2,2.3272759807309855,4.92274048148917,10.53031849861145
tree_structure,4,5,1,A,3,0.13181182159917076,0.44213438769948993,6.335073709487915
tree_structure,4,5,1,B,3,1.1164122732601305,2.966954181123081,6.335073709487915
tree_structure,4,5,1,C,3,0.2636415295642235,0.767648690670055,6.335073709487915
tree_structure,4,5,1,D,3,2.8164574488290817,0.025981548800794355,6.335073709487915
tree_structure,4,5,1,E,3,0.002089822218451002,0.025154664063136614,6.335073709487915
tree_structure,4,5,1,F,3,0.028065559776434143,0.05805169429389903,6.335073709487915
tree_structure,4,5,1,G,3,0.04119218015638079,0.005083147232644185,6.335073709487915
tree_structure,4,5,1,H,3,0.5682870357785,0.1414477540627508,6.335073709487915
tree_structure,4,5,1,I,3,1.929025940985977,5.193166004949525,6.335073709487915
tree_structure,4,5,1,J,3,2.5440785434638657,4.8514235122925955,6.335073709487915
tree_structure,4,5,1,K,3,0.631651338562425,1.561300612895511,6.335073709487915
tree_structure,4,5,2,A,3,0.21068984110426783,0.44213438769948993,10.220576047897339
tree_structure,4,5,2,B,3,3.9397490958224526,7.305268038418246,10.220576047897339
tree_structure,4,5,2,C,3,0.3036653243407409,0.767648690670055,10.220576047897339
tree_structure,4,5,2,D,3,3.3008162871210684,0.056998315985121034,10.220576047897339
tree_structure,4,5,2,E,3,0.033941575239464394,0.1677289640086209,10.220576047897339
tree_structure,4,5,2,F,3,0.0001315623050608776,9.342143108392181e-06,10.220576047897339
tree_structure,4,5,2,G,3,0.034433948635668496,0.09888610958583022,10.220576047897339
tree_structure,4,5,2,H,3,3.0221842166731783,0.0032067930125096386,10.220576047897339
tree_structure,4,5,2,I,3,3.2117717982390275,5.198407365197669,10.220576047897339
tree_structure,4,5,2,J,3,3.115367579993446,4.8514235122925955,10.220576047897339
tree_structure,4,5,2,K,3,0.7782825691650266,1.561300612895511,10.220576047897339
tree_structure,4,5,1,A,4,0.06478400159171946,0.44213438769948993,6.778920650482178
tree_structure,4,5,1,B,4,0.140646792584244,0.07278055802049208,6.778920650482178
tree_structure,4,5,1,C,4,0.3544111180914937,0.767648690670055,6.778920650482178
tree_structure,4,5,1,D,4,0.8501228818389153,3.1954490689491646,6.778920650482178
tree_structure,4,5,1,E,4,0.574763675959879,1.9939229242021885,6.778920650482178
tree_structure,4,5,1,F,4,0.38061365963031585,0.18168349160199837,6.778920650482178
tree_structure,4,5,1,G,4,3.0496467475275404,2.4101711079415717,6.778920650482178
tree_structure,4,5,1,H,4,2.96624009195557,6.3988620091836665,6.778920650482178
tree_structure,4,5,1,I,4,0.06224350232061962,0.0010508973461569697,6.778920650482178
tree_structure,4,5,1,J,4,2.366175129057584,5.538120856375988,6.778920650482178
tree_structure,4,5,1,K,4,0.20068821127276182,0.2320264010749811,6.778920650482178
tree_structure,4,5,2,A,4,0.1378587708745288,0.44213438769948993,9.782365560531616
tree_structure,4,5,2,B,4,1.3133364781969152,2.966954181123081,9.782365560531616
tree_structure,4,5,2,C,4,0.29057075164560725,0.15941924490021292,9.782365560531616
tree_structure,4,5,2,D,4,0.14849800819013348,0.12887779284840137,9.782365560531616
tree_structure,4,5,2,E,4,1.356663870778187,1.0095387941326626,9.782365560531616
tree_structure,4,5,2,F,4,0.047582336883883136,0.05805169429389903,9.782365560531616
tree_structure,4,5,2,G,4,1.9279672163954515,4.488492581071045,9.782365560531616
tree_structure,4,5,2,H,4,0.8920271949089147,3.4116942482277612,9.782365560531616
tree_structure,4,5,2,I,4,0.04780437513321434,0.04405426041128732,9.782365560531616
tree_structure,4,5,2,J,4,0.8710700038533074,2.334806310163779,9.782365560531616
tree_structure,4,5,2,K,4,0.004107967883929323,0.1818132771542596,9.782365560531616
tree_structure,4,5,1,A,5,0.1752034351211329,0.44213438769948993,6.513862371444702
tree_structure,4,5,1,B,5,1.1475345072730845,2.966954181123081,6.513862371444702
tree_structure,4,5,1,C,5,0.25017192119924464,0.767648690670055,6.513862371444702
tree_structure,4,5,1,D,5,0.04539879309012968,0.041489932392957694,6.513862371444702
tree_structure,4,5,1,E,5,1.0834699072400409,1.0095387941326626,6.513862371444702
tree_structure,4,5,1,F,5,1.6351637941964987,3.1791505124299966,6.513862371444702
tree_structure,4,5,1,G,5,2.30055080845882,4.488492581071045,6.513862371444702
tree_structure,4,5,1,H,5,1.876947248062953,3.8724536413919375,6.513862371444702
tree_structure,4,5,1,I,5,0.03348622603392432,0.0005256559332916945,6.513862371444702
tree_structure,4,5,1,J,5,2.5148284091276407,1.061449635353102,6.513862371444702
tree_structure,4,5,1,K,5,4.971364673067472,8.60658369749809,6.513862371444702
